랭킹,제목,가수,좋아요,좋아요차이
<<<<<<< HEAD
1,초록빛,폴킴,38147,31154
2,넘쳐흘러,엠씨더맥스,80297,73304
3,벌써 12시,청하,75177,68184
4,띵 (Prod. By 기리보이),"Jvcki Wai,영비 (Young B),Osshun Gum,한요한",49517,42524
5,180도,벤,119363,112370
6,신용재,하은 (라코스테남),81861,74868
7,SOLO,제니 (JENNIE),159977,152984
8,너를 만나,폴킴,160462,153469
9,아낙네,MINO (송민호),141778,134785
10,MILLIONS,WINNER,101667,94674
11,Love Shot,EXO,121431,114438
12,너도 그냥 날 놓아주면 돼,윤건,41833,34840
13,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,235171,228178
14,YES or YES,TWICE (트와이스),116053,109060
15,Tempo,EXO,167910,160917
16,내 생에 아름다운,케이윌,91158,84165
17,해야 (Sunrise),여자친구 (GFRIEND),29231,22238
18,IDOL,방탄소년단,214587,207594
19,흔한 이별,허각,37812,30819
20,아름답고도 아프구나,비투비,121384,114391
21,가을 타나 봐,바이브,112921,105928
22,%%(응응),Apink (에이핑크),25618,18625
23,이별하러 가는 길,임한별,71497,64504
24,삐삐,아이유,204509,197516
25,첫눈에,헤이즈 (Heize),50662,43669
26,Way Back Home,숀 (SHAUN),250138,243145
27,고백,양다일,98518,91525
28,"thank u, next",Ariana Grande,83327,76334
29,We all lie,하진,42434,35441
30,열애중,벤,148926,141933
31,사계 (하루살이),엠씨더맥스,21780,14787
32,봄바람,Wanna One (워너원),125624,118631
33,FAKE LOVE,방탄소년단,269232,262239
34,No Question,"매드클라운,스텔라장 (Stella Jang)",11912,4919
35,Good Day (Feat. 팔로알토) (Prod. 코드 쿤스트),"pH-1,Kid Milli,루피(Loopy)",120864,113871
36,하루도 그대를 사랑하지 않은 적이 없었다,임창정,136355,129362
37,트라우마 (Trauma),EXO,67040,60047
38,봄날,방탄소년단,378278,371285
39,Wait,EXO,67835,60842
40,Gravity,EXO,95918,88925
41,너 없인 안 된다,비투비,150628,143635
42,닿은 순간 (Ooh La La La),EXO,93282,86289
43,지나오다,닐로 (Nilo),192483,185490
44,그리워하다,비투비,219238,212245
45,라비앙로즈 (La Vie en Rose),IZ*ONE (아이즈원),79767,72774
46,I`m Fine,방탄소년단,157868,150875
47,그때가 좋았어,케이시 (Kassy),18032,11039
48,알았다면,장덕철,21534,14541
49,24/7,EXO,91925,84932
50,너는 어땠을까,노을,38315,31322
51,습관 (Bad Habits),숀 (SHAUN),18660,11667
52,Sign,EXO,90111,83118
53,"길 (Song by 아이유, 헨리, 조현아, 양다일)",god,23991,16998
54,뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK,203095,196102
55,DNA,방탄소년단,335217,328224
56,여기 있을게 (Smile On My Face),EXO,87116,80123
57,행복,오반,44601,37608
58,미안해,양다일,142706,135713
59,Damage,EXO,83658,76665
60,가끔 (With You),EXO,84846,77853
61,비,폴킴,183987,176994
62,후폭풍 (Bad Dream),EXO,83557,76564
63,오아시스 (Oasis),EXO,86644,79651
64,Euphoria,방탄소년단,151509,144516
65,IndiGO,"저스디스 (JUSTHIS),Kid Milli,NO:EL,영비 (Young B)",90093,83100
66,Universe,EXO,185873,178880
67,Answer : Love Myself,방탄소년단,131566,124573
68,flex (Prod. By 기리보이),"기리보이,Kid Milli,NO:EL,스윙스",107552,100559
69,헤어지는 중,펀치 (Punch),98544,91551
70,사이렌 (Siren),선미,110397,103404
71,Dance The Night Away,TWICE (트와이스),138930,131937
72,Bohemian Rhapsody (2011 Remaster),Queen,89227,82234
73,밤편지,아이유,304417,297424
74,가을 안부,먼데이 키즈 (Monday Kiz),126540,119547
75,우리 그만하자,로이킴,121993,115000
76,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,191991,184998
77,시간이 들겠지 (Feat. Colde),로꼬,96902,89909
78,에너제틱 (Energetic),Wanna One (워너원),286757,279764
79,이별길 (GOODBYE ROAD),iKON,84619,77626
80,사랑을 했다 (LOVE SCENARIO),iKON,279311,272318
81,Beautiful,Wanna One (워너원),235194,228201
82,Wind flower,마마무(Mamamoo),49582,42589
83,Epiphany,방탄소년단,120140,113147
84,BOOMERANG (부메랑),Wanna One (워너원),144200,137207
85,그때 헤어지면 돼,로이킴,191922,184929
86,Anpanman,방탄소년단,149377,142384
87,켜줘 (Light),Wanna One (워너원),133448,126455
88,겨울이라 이런 거면 좋겠다,먼데이 키즈 (Monday Kiz),9614,2621
89,꽃 (Prod. AVIN),HAON (김하온),9908,2915
90,동화 (feat. 아이유),김동률,55214,48221
91,Snowman (삼성 갤럭시 노트 9 광고 삽입곡),Sia,75143,68150
92,이 마음,펀치 (Punch),6993,0
93,꿈처럼 내린,다비치,38118,31125
94,Trivia 轉 : Seesaw,방탄소년단,114583,107590
95,불꽃놀이 (Flowerbomb),Wanna One (워너원),72587,65594
96,멋지게 인사하는 법 (Feat. 슬기 of Red Velvet),Zion.T,81631,74638
97,그 남자를 떠나,god,14860,7867
98,수퍼비와 (Feat. BewhY) (Prod. BewhY),SUPERBEE,50476,43483
99,술래,Wanna One (워너원),69721,62728
100,All Night (전화해),아스트로 (ASTRO),13959,6966
=======
1,넘쳐흘러,엠씨더맥스,74236,65652
2,벌써 12시,청하,68175,59591
3,띵 (Prod. By 기리보이),"Jvcki Wai,영비 (Young B),Osshun Gum,한요한",40727,32143
4,180도,벤,116762,108178
5,신용재,하은 (라코스테남),79060,70476
6,SOLO,제니 (JENNIE),158260,149676
7,MILLIONS,WINNER,98786,90202
8,아낙네,MINO (송민호),140152,131568
9,Love Shot,EXO,119783,111199
10,너를 만나,폴킴,158101,149517
11,YES or YES,TWICE (트와이스),114817,106233
12,Tempo,EXO,167370,158786
13,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,233174,224590
14,내 생에 아름다운,케이윌,89363,80779
15,너도 그냥 날 놓아주면 돼,윤건,37358,28774
16,아름답고도 아프구나,비투비,120098,111514
17,해야 (Sunrise),여자친구 (GFRIEND),22401,13817
18,IDOL,방탄소년단,213133,204549
19,가을 타나 봐,바이브,112170,103586
20,첫눈에,헤이즈 (Heize),49395,40811
21,흔한 이별,허각,36501,27917
22,삐삐,아이유,203612,195028
23,%%(응응),Apink (에이핑크),22960,14376
24,고백,양다일,97533,88949
25,이별하러 가는 길,임한별,70175,61591
26,"thank u, next",Ariana Grande,81255,72671
27,Way Back Home,숀 (SHAUN),249305,240721
28,봄바람,Wanna One (워너원),125004,116420
29,열애중,벤,148119,139535
30,하루도 그대를 사랑하지 않은 적이 없었다,임창정,135921,127337
31,사계 (하루살이),엠씨더맥스,20063,11479
32,FAKE LOVE,방탄소년단,268659,260075
33,트라우마 (Trauma),EXO,66565,57981
34,Good Day (Feat. 팔로알토) (Prod. 코드 쿤스트),"pH-1,Kid Milli,루피(Loopy)",120106,111522
35,너 없인 안 된다,비투비,150062,141478
36,Wait,EXO,67393,58809
37,봄날,방탄소년단,377342,368758
38,Gravity,EXO,95733,87149
39,라비앙로즈 (La Vie en Rose),IZ*ONE (아이즈원),78898,70314
40,그리워하다,비투비,218773,210189
41,닿은 순간 (Ooh La La La),EXO,93119,84535
42,지나오다,닐로 (Nilo),191983,183399
43,07월 24일,EXO,91750,83166
44,알았다면,장덕철,20418,11834
45,I`m Fine,방탄소년단,157063,148479
46,습관 (Bad Habits),숀 (SHAUN),17112,8528
47,뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK,202765,194181
48,DNA,방탄소년단,334731,326147
49,Sign,EXO,89993,81409
50,여기 있을게 (Smile On My Face),EXO,87003,78419
51,"길 (Song by 아이유, 헨리, 조현아, 양다일)",god,20414,11830
52,너는 어땠을까,노을,37087,28503
53,사이렌 (Siren),선미,109971,101387
54,flex (Prod. By 기리보이),"기리보이,Kid Milli,NO:EL,스윙스",106564,97980
55,We all lie,하진,34935,26351
56,Damage,EXO,83559,74975
57,가끔 (With You),EXO,84758,76174
58,후폭풍 (Bad Dream),EXO,83486,74902
59,행복,오반 (OVAN),42705,34121
60,미안해,양다일,141993,133409
61,Universe,EXO,185703,177119
62,Dance The Night Away,TWICE (트와이스),138546,129962
63,시간이 들겠지 (Feat. Colde),로꼬,96400,87816
64,오아시스 (Oasis),EXO,86546,77962
65,밤편지,아이유,303745,295161
66,이별길 (GOODBYE ROAD),iKON,84232,75648
67,우리 그만하자,로이킴,121543,112959
68,가을 안부,먼데이 키즈 (Monday Kiz),126027,117443
69,헤어지는 중,펀치 (Punch),97970,89386
70,Euphoria,방탄소년단,150701,142117
71,비,폴킴,182990,174406
72,Answer : Love Myself,방탄소년단,130512,121928
73,Bohemian Rhapsody (2011 Remaster),Queen,88170,79586
74,에너제틱 (Energetic),Wanna One (워너원),286593,278009
75,Wind flower,마마무(Mamamoo),48771,40187
76,그때 헤어지면 돼,로이킴,191442,182858
77,동화 (feat. 아이유),김동률,54923,46339
78,BOOMERANG (부메랑),Wanna One (워너원),144032,135448
79,Beautiful,Wanna One (워너원),235105,226521
80,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,191434,182850
81,켜줘 (Light),Wanna One (워너원),133339,124755
82,Snowman (삼성 갤럭시 노트 9 광고 삽입곡),Sia,74235,65651
83,사랑을 했다 (LOVE SCENARIO),iKON,278908,270324
84,IndiGO,"저스디스 (JUSTHIS),Kid Milli,NO:EL,영비 (Young B)",89363,80779
85,Anpanman,방탄소년단,148944,140360
86,꿈처럼 내린,다비치,37687,29103
87,Epiphany,방탄소년단,119476,110892
88,불꽃놀이 (Flowerbomb),Wanna One (워너원),72300,63716
89,겨울이라 이런 거면 좋겠다,먼데이 키즈 (Monday Kiz),8584,0
90,술래,Wanna One (워너원),69453,60869
91,멋지게 인사하는 법 (Feat. 슬기 of Red Velvet),Zion.T,81316,72732
92,그때가 좋았어,케이시 (Kassy),14302,5718
93,Trivia 轉 : Seesaw,방탄소년단,113945,105361
94,집,Wanna One (워너원),71778,63194
95,그 남자를 떠나,god,13553,4969
96,YA,이민혁 (HUTA),14463,5879
97,묻고싶다 (One Love),Wanna One (워너원),66890,58306
98,I`M OK,iKON,23461,14877
99,RBB (Really Bad Boy),Red Velvet (레드벨벳),55123,46539
100,사랑은 다 이러니,홍진영,11293,2709
>>>>>>> 14b1a64526eeb51aecda34d9ad38c7642b2542db
